          Year,"U.S. population, July 12 (Millions",Kilocalories,Carbohydrate,Fiber,Protein,Fat,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Cholesterol
1909,90.49,3400,499,29,101,119,50,45,13,440
1910,92.407,3400,498,29,99,117,49,44,12,440
1911,93.863,3400,492,28,98,118,49,45,12,460
1912,95.335,3400,493,28,98,115,48,44,12,440
1913,97.225,3400,492,28,97,116,48,44,12,430
1914,99.111,3400,486,27,95,118,48,45,13,430
1915,100.546,3300,483,28,94,117,48,45,13,430
1916,101.961,3300,473,27,93,117,48,45,13,430
1917,103.414,3200,472,28,92,113,46,44,12,410
1918,104.55,3300,468,27,94,121,49,47,14,420
1919,105.063,3300,480,27,93,120,49,47,14,430
1920,106.461,3200,460,26,91,115,48,44,13,430
1921,108.538,3100,445,25,88,114,48,42,13,430
1922,110.049,3400,485,26,92,121,51,45,14,450
1923,111.947,3400,474,27,94,127,53,48,14,470
1924,114.109,3400,482,26,94,128,54,48,14,470
1925,115.829,3400,483,26,93,129,54,49,15,470
1926,117.397,3400,488,26,93,129,54,48,15,480
1927,119.035,3400,489,26,94,129,54,49,15,480
1928,120.509,3500,494,26,93,129,54,49,15,470
1929,121.767,3400,484,27,93,131,55,49,15,470
1930,123.188,3400,485,26,91,129,54,48,15,460
1931,124.149,3400,471,26,91,129,54,48,15,460
1932,124.949,3300,457,25,90,126,53,47,14,450
1933,125.69,3200,446,25,89,126,54,47,15,450
1934,126.485,3200,438,25,89,129,54,48,15,450
1935,127.362,3200,444,26,86,122,52,46,14,420
1936,128.181,3300,447,26,90,129,54,49,15,440
1937,128.961,3200,441,25,89,128,53,48,15,440
1938,129.969,3200,441,25,89,128,53,48,15,440
1939,131.028,3300,449,26,91,133,56,50,16,460
1940,132.122,3300,439,25,92,136,57,51,16,470
1941,133.402,3400,455,25,94,139,58,52,17,470
1942,134.86,3300,438,26,98,138,57,52,18,490
1943,136.739,3400,442,26,102,139,55,53,18,500
1944,138.397,3400,441,26,102,140,56,54,18,510
1945,139.928,3300,433,26,105,137,55,52,18,530
1946,141.389,3300,427,25,103,138,55,53,17,520
1947,144.126,3300,434,23,98,138,56,53,17,520
1948,146.631,3200,413,22,94,135,54,52,17,510
1949,149.188,3200,414,22,94,134,54,51,18,510
1950,151.684,3200,416,22,94,139,55,53,18,510
1951,154.287,3200,405,21,93,134,53,51,18,510
1952,156.954,3200,403,21,94,137,54,53,18,510
1953,159.565,3200,399,20,94,136,54,53,18,510
1954,162.391,3100,390,20,93,136,53,53,18,500
1955,165.275,3200,390,20,93,140,55,54,19,500
1956,168.221,3200,390,20,95,141,55,54,19,510
1957,171.274,3100,384,20,93,137,54,52,19,490
1958,174.141,3100,387,19,92,136,53,53,19,480
1959,177.073,3100,387,20,93,140,54,55,20,490
1960,180.671,3100,388,19,92,138,53,53,20,470
1961,183.691,3100,387,19,93,138,53,53,20,470
1962,186.538,3100,387,19,92,139,53,53,20,470
1963,189.242,3100,386,19,93,140,53,54,22,470
1964,191.889,3200,385,18,94,143,54,55,22,470
1965,194.303,3100,385,18,93,142,53,54,22,460
1966,196.56,3200,388,19,94,145,54,56,23,460
1967,198.712,3200,391,19,95,146,55,56,23,470
1968,200.706,3300,394,19,96,150,55,58,24,470
1969,202.677,3300,397,19,96,149,55,58,24,470
1970,205.052,3300,401,19,98,147,52,58,25,470
1971,207.661,3300,401,19,99,147,52,58,25,470
1972,209.896,3300,395,19,98,148,52,58,26,460
1973,211.909,3200,401,20,96,144,50,57,27,440
1974,213.854,3200,395,19,97,146,50,57,27,440
1975,215.973,3400,395,20,111,160,56,63,27,490
1976,218.035,3500,409,20,116,166,58,67,29,500
1977,220.239,3600,418,22,117,163,57,65,29,500
1978,222.585,3500,405,20,113,163,56,65,29,490
1979,225.055,3500,406,20,112,162,56,65,29,490
1980,227.726,3500,408,20,111,162,56,65,29,490
1981,229.966,3500,416,22,113,162,56,65,30,480
1982,232.188,3500,413,22,113,162,55,65,30,480
1983,234.307,3500,409,21,113,166,57,66,31,480
1984,236.348,3600,416,21,114,170,59,69,31,490
1985,238.466,3700,432,22,117,176,61,71,32,490
1986,240.651,3700,436,22,118,177,61,71,32,490
1987,242.804,3800,448,22,117,174,59,70,32,480
1988,245.021,3800,454,23,118,175,59,71,33,470
1989,247.342,3700,452,23,117,169,57,68,32,460
1990,250.132,3800,468,24,118,167,56,68,32,460
1991,253.493,3800,470,24,119,164,55,69,32,450
1992,256.894,3800,473,24,120,168,56,70,32,460
1993,260.255,3900,483,24,120,172,57,73,33,450
1994,263.436,3900,490,24,122,170,56,73,32,460
1995,266.557,3900,490,24,121,168,56,71,32,460
1996,269.667,3900,500,25,122,166,55,71,31,460
1997,272.912,3900,503,25,121,165,54,70,32,450
1998,276.115,3900,504,24,122,167,56,71,32,460
1999,279.295,4000,506,25,124,173,58,73,33,480
2000,282.385,4200,505,25,124,191,62,83,37,470
2001,285.309,4100,500,24,122,192,61,84,38,470
2002,288.105,4200,495,24,123,199,63,87,40,480
2003,290.82,4200,492,24,124,202,64,88,40,480
2004,293.463,4200,491,25,125,202,64,88,40,490
2005,296.186,4100,488,25,123,194,61,84,40,470
2006,298.996,4100,485,25,124,196,62,83,41,480
2007,302.004,4100,480,24,123,196,61,82,43,470
2008,304.798,4100,478,24,121,194,60,80,45,470
2009,307.439,4000,471,24,120,185,57,75,42,460
2010,309.75,4000,474,25,120,190,59,77,44,460
